Date,Make,Color,Amount.Due,Violation,Location,Meter,Officer.Comment,SanitizedLocation,lat,lon
6/12/08,CHEV,RED,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 5,NO TIME ON METER,5TH HIGH,44.0535416,-123.0878574
6/12/08,DODG,WHT,0.00,METER VIOLATION,8TH AVE OLIVE ST WILLAME,41 2,NO TIME ON METER,8TH OLIVE,44.05119029999999,-123.0944561
6/12/08,OLDS,WHT,0.00,METER VIOLATION,8TH AVE CHARNELTON ST OL,31 34,NO TIME ON METER,8TH CHARNELTON,44.05118239999999,-123.0963337
6/12/08,MERC,GRN,0.00,METER VIOLATION,13TH AVE ALDER ST HILYAR,225-2,NO TIME ON METER,13TH ALDER,44.0456069,-123.079995
6/12/08,FORD,YEL,0.00,METER VIOLATION,13TH AVE ALDER ST HILYAR,225-9,NO TIME ON METER,13TH ALDER,44.0456069,-123.079995
6/12/08,SUBA,BLU,0.00,TIME LIMIT ZONE,17TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLEVEH MUST LEA,17TH ALDER,44.0413005,-123.0802387
6/12/08,TRIU,BLU,24.00,TIME LIMIT ZONE,E/S PATTERSON ST 12TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/12/08,VOLV,GRN,12.00,TIME LIMIT ZONE,15TH AVE HILYARD ST PATT,NA,CHALK MARK STILL VISIBLENO PERMIT VI,15TH HILYARD,44.0436443,-123.0821076
6/12/08,HOND,BLK,0.00,TIME LIMIT ZONE,16TH AVE PATTERSON ST FE,NA,CHALK MARK STILL VISIBLENO PERMIT VI,16TH PATTERSON,44.046878,-123.084076
6/12/08,HOND,GRY,0.00,TIME LIMIT ZONE,17TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLEVEH MUST LEA,17TH ALDER,44.0413005,-123.0802387
6/12/08,FORD,GRY,0.00,YELLOW ZONE,17TH AVE ALDER ST HILYAR,NA,ALL IN YELLOWNOT A PARKING SPACE,17TH ALDER,44.0413005,-123.0802387
6/12/08,BMW,BLU,0.00,METER VIOLATION,13TH AVE ALDER ST HILYAR,225-2,NO TIME ON METER,13TH ALDER,44.0456069,-123.079995
6/12/08,HOND,RED,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226-6,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/12/08,TOYT,BLK,0.00,METER VIOLATION,KINCAID ST 13TH AVE END,240-54,NO TIME ON METER,KINCAID 13TH,44.04411040000001,-123.0789666
6/12/08,VOLK,BEI,0.00,EXCESS OF POSTED TIME,13TH AVE PATTERSON ST FE,NA,CHALK MARK STILL VISIBLEVEH MUST LEA,,,
6/12/08,HOND,BLU,0.00,TIME LIMIT ZONE,15TH AVE HILYARD ST PATT,NA,CHALK MARK STILL VISIBLENO PERMIT VI,15TH HILYARD,44.0436443,-123.0821076
6/12/08,FORD,WHT,0.00,EXCESS OF POSTED TIME,16TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLEVEH MUST LEA,16TH PATTERSON,44.046878,-123.084076
6/12/08,BMW,BLK,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-31,NO TIME ON METER,12TH ALDER,44.04646169999999,-123.0798634
6/12/08,DODG,WHT,0.00,METER VIOLATION,ALDER ST 13TH AVE 11TH A,213-21,NO TIME ON METER,ALDER 13TH,44.0456069,-123.079995
6/12/08,FORD,BLK,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-34,NO TIME ON METER,12TH ALDER,44.04646169999999,-123.0798634
6/12/08,BMW,GRN,0.00,METER VIOLATION,KINCAID ST 11TH AVE 13TH,210-50,NO TIME ON METER,KINCAID 11TH,44.04411040000001,-123.0789666
6/12/08,TOYT,GRN,0.00,TIME LIMIT ZONE,COLUMBIA ST 17TH AVE 19T,NA,VEH MUST LEAVE BLKCHALK MARK STILL V,COLUMBIA 17TH,44.04111049999999,-123.0680264
6/12/08,HOND,GRN,0.00,TIME LIMIT ZONE,15TH AVE ORCHARD ST VILL,NA,2HRCHALK MARK STILL VISIBLE,,,
6/12/08,TOYT,GRN,0.00,METER VIOLATION,18TH AVE ALDER ST UNIVER,272-30,NO TIME ON METER,18TH ALDER,44.039366,-123.0806285
6/12/08,HOND,GRY,0.00,METER VIOLATION,KINCAID ST END 15TH AVE,250-21,NO TIME ON METER,KINCAID END,44.028754,-123.079741
6/12/08,HOND,GRY,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,214-2,NO TIME ON METER,12TH ALDER,44.04646169999999,-123.0798634
6/12/08,VOLK,BLK,0.00,TIME LIMIT ZONE,HILYARD ST BROADWAY ST 1,NA,1HRCHALK MARK STILL VISIBLE,,,
6/12/08,VOLK,BLU,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-32,NO TIME ON METER,12TH ALDER,44.04646169999999,-123.0798634
6/12/08,DODG,WHT,0.00,RESTRICTED BY SIGN,13TH AVE KINCAID ST ALDE,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM,13TH KINCAID,44.04411040000001,-123.0789666
6/12/08,STRN,GRN,0.00,TIME LIMIT ZONE,18TH AVE UNIVERSITY ST P,NA,CHALK MARK STILL VISIBLE,,,
6/12/08,AUDI,BLK,24.00,TIME LIMIT ZONE,POTTER ST 19TH AVE 20TH,NA,CHALK MARK STILL VISIBLE,POTTER 19TH,44.0396102,-123.0757823
6/12/08,SUBA,MAR,0.00,BIKE LANE,AGATE ST 20TH AVE 19TH A,NA,NO PARKING,,,
6/12/08,FORD,BLU,24.00,METER VIOLATION,PATTERSON ST 13TH AVE 12,212 51,NO TIME ON METER,PATTERSON 13TH,44.04515199999999,-123.0834043
6/12/08,FORD,WHT,0.00,ON SIDEWALK,21ST AVE EMERALD ST ONYX,NA,BLOCKINGNO PARKING,,,
6/12/08,SUBA,BLU,0.00,YELLOW ZONE,22ND AVE AGATE ST EMERAL,NA,ALL IN YELLOWNO PARKING,,,
6/12/08,FORD,WHT,0.00,WRONG SIDE PARKING,14TH AVE ALDER ST KINCAI,NA,MUST PARK WITH FLOW OF TRAFFIC,14TH ALDER,44.04473,-123.081623
6/12/08,ACUR,BLU,0.00,METER VIOLATION,KINCAID ST END 15TH AVE,250 20,NO TIME ON METER,KINCAID END,44.028754,-123.079741
6/12/08,NISS,WHT,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226 9,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/12/08,DODG,WHT,0.00,METER VIOLATION,8TH AVE OAK ST PEARL ST,34-31,NO TIME ON METER,8TH OAK,44.0516002,-123.0906409
6/12/08,HOND,RED,30.00,RESTRICTED BY SIGN,ALLEY LOT 01,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM,ALLEY 01,44.039064,-123.0704815
6/12/08,SUBA,RED,0.00,METER VIOLATION,CHARNELTON ST 10TH AVE 1,58-53,NO TIME ON METER,CHARNELTON 10TH,44.0485301,-123.094962
6/12/08,TOYT,WHT,0.00,METER VIOLATION,WILLAMETTE END 5TH AVE,18050,NO TIME ON METER,WILLAMETTE 5TH,44.054116,-123.089438
6/12/08,VOLK,BLK,0.00,METER VIOLATION,5TH AVE LAWRENCE ST LINC,12451,NO TIME ON METER,5TH LAWRENCE,44.0510462,-123.0983383
6/12/08,FORD,GRN,0.00,TIME LIMIT ZONE,10TH AVE LAWRENCE ST LIN,NA,CHALK MARK STILL VISIBLE,,,
6/12/08,ISUZ,GRN,0.00,TIME LIMIT ZONE,LINCOLN ST 5TH AVE 4TH A,NA,CHALK MARK STILL VISIBLE,LINCOLN 5TH,44.054116,-123.089438
6/12/08,FORD,RED,0.00,TIME LIMIT ZONE,8TH AVE LAWRENCE ST LINC,NA,CHALK MARK STILL VISIBLENO PERMIT VI,8TH LAWRENCE,44.0510462,-123.0983383
6/12/08,TOYT,BLU,0.00,TIME LIMIT ZONE,BROADWAY ST LAWRENCE ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/12/08,ACUR,GRY,0.00,TIME LIMIT ZONE,12TH AVE CHARNELTON ST L,NA,CHALK MARK STILL VISIBLEVEH MUST LEA,,,
6/12/08,NISS,GRY,0.00,TIME LIMIT ZONE,14TH AVE CHARNELTON ST O,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/12/08,DODG,MAR,0.00,WRONG SIDE PARKING,1470 LAWENCE ST.,NA,MUST PARK WITH FLOW OF TRAFFIC,,,
6/12/08,GMC,SIL,0.00,HANDICAP,GREEN ACRES HOME DEPOT,NA,NO VISIBLE PERMIT,,,
6/12/08,SUBA,WHT,0.00,RESTRICTED BY SIGN,LOT 07 - AIRPORT TERMINAL,NA,UNATTENDED VEHICLE,LOT -,44.0738645,-123.1453971
6/12/08,TOYT,SIL,0.00,RESTRICTED BY SIGN,LOT 07 - AIRPORT TERMINAL,NA,UNATTENDED VEHICLE,LOT -,44.0738645,-123.1453971
6/12/08,PONT,SIL,0.00,RESTRICTED BY SIGN,LOT 07 EUGENE AIRPORT,NA,UNATTENDED AT FRONT CURB,LOT EUGENE,44.0747576,-123.1088073
6/12/08,DODG,BLU,0.00,HANDICAP,COSTCO,NA,NO PERMIT - OWNER CAME OUT AND,,,
6/12/08,VOLK,GRN,0.00,WRONG SIDE PARKING,1325 GOODPASTURE ISLAND ROAD,NA,PARKED FACING WEST BOUND ON,,,
6/12/08,DODG,BLK,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,UNATTENDED AT FRONT CURB,LOT -,44.0738645,-123.1453971
6/12/08,TOYT,GRY,0.00,RESTRICTED BY SIGN,LOT 07 AIRPORT TERMINAL,NA,UNATTENDED VEHICLE,,,
6/13/08,TOYT,GRY,0.00,TIME LIMIT ZONE,15TH - FERRY TO PATTERSON,NA,CHALK MARK STILL VISIBLE,,,
6/13/08,CHEV,BEI,0.00,TIME LIMIT ZONE,PATTERSON ST. - 11TH AND 12TH,NA,CHALK MARK STILL VISIBLE,,,
6/13/08,TOYT,WHT,0.00,TIME LIMIT ZONE,18TH AVE. - UNIV. TO ONYX ST.,NA,CHALK MARK STILL VISIBLE,,,
6/13/08,FORD,WHT,0.00,METER VIOLATION,CHARNELTON ST 10TH AVE B,48-16,NO TIME ON METER,CHARNELTON 10TH,44.0485301,-123.094962
6/13/08,CHEV,WHT,0.00,METER VIOLATION,LOT 10,1,NO TIME ON METERSEE PD SP REPORT,,,
6/13/08,TOYT,BLK,0.00,METER VIOLATION,11TH AVE CHARNELTON ST O,58-32,NO TIME ON METER,11TH CHARNELTON,44.0475982,-123.0910519
6/13/08,AUDI,GRY,0.00,TIME LIMIT ZONE,12TH AVE MILL ST HIGH ST,NA,CHALK MARK STILL VISIBLENO VALID PER,,,
6/13/08,MAZD,BLK,0.00,TIME LIMIT ZONE,MILL ST 13TH AVE 12TH AV,NA,VEH MUST LEAVE BLKNO PERMIT VISIBLE,MILL 13TH,44.04454339999999,-123.0738902
6/13/08,VOLK,BLK,0.00,TIME LIMIT ZONE,MILL ST 12TH AVE 13TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/13/08,PLYM,RED,24.00,TIME LIMIT ZONE,12TH AVE FERRY ST MILL S,NA,CHALK MARK STILL VISIBLENO PERMIT VI,12TH FERRY,44.0484612,-123.0855373
6/13/08,HOND,SIL,24.00,TIME LIMIT ZONE,FERRY ST END 11TH AVE,NA,CHALK MARK STILL VISIBLE,FERRY END,44.04332489999999,-123.0859175
6/13/08,SUBA,BLU,0.00,TIME LIMIT ZONE,FERRY ST 12TH AVE 11TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI,FERRY 12TH,44.0484612,-123.0855373
6/13/08,CHEV,WHT,0.00,TIME LIMIT ZONE,FERRY ST 14TH AVE 13TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI,FERRY 14TH,44.0452933,-123.084937
6/13/08,CHEV,GRY,0.00,TIME LIMIT ZONE,FERRY ST 15TH AVE 16TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI,FERRY 15TH,44.0452933,-123.084937
6/13/08,TOYT,GRN,0.00,TIME LIMIT ZONE,18TH - EMERALD TO AGATE,NA,CHALK MARK STILL VISIBLE,,,
6/13/08,HYUN,WHT,0.00,METER VIOLATION,WILLAMETTE 8TH AVE BROAD,42-48,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/13/08,SUBA,GRN,0.00,METER VIOLATION,10TH AVE OAK ST WILLAMET,60-3,NO TIME ON METER,10TH OAK,44.0488193,-123.0916306
6/13/08,CHEV,GRY,0.00,METER VIOLATION,10TH AVE OAK ST WILLAMET,60-4,NO TIME ON METER,10TH OAK,44.0488193,-123.0916306
6/13/08,FORD,WHT,0.00,METER VIOLATION,OAK ST 7TH AVE 8TH AVE,33-23,NO TIME ON METER,OAK 7TH,43.7517656,-122.4553777
6/13/08,PLYM,RED,0.00,TIME LIMIT ZONE,MILL ST 15TH AVE 16TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI,MILL 15TH,44.043051,-123.088771
6/13/08,HOND,WHT,0.00,TIME LIMIT ZONE,FERRY ST 15TH AVE 16TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI,FERRY 15TH,44.0452933,-123.084937
6/13/08,PLYM,WHT,0.00,TIME LIMIT ZONE,FERRY ST 17TH AVE 16TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI,FERRY 17TH,44.0427438,-123.0856268
6/13/08,HOND,BLK,0.00,TIME LIMIT ZONE,17TH AVE HIGH ST MILL ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/13/08,TOYT,RED,0.00,METER VIOLATION,CHARNELTON ST 8TH AVE 7T,30 17,NO TIME ON METER,CHARNELTON 8TH,44.05118239999999,-123.0963337
6/13/08,JEEP,GRN,24.00,METER VIOLATION,CHARNELTON ST 8TH AVE 7T,30 19,NO TIME ON METER,CHARNELTON 8TH,44.05118239999999,-123.0963337
6/13/08,NISS,GRY,24.00,METER VIOLATION,CHARNELTON ST 8TH AVE 7T,30 21,NO TIME ON METER,CHARNELTON 8TH,44.05118239999999,-123.0963337
6/13/08,CHEV,WHT,0.00,METER VIOLATION,SOUTH PARK-1E,43 60,NO TIME ON METER,,,
6/13/08,FORD,GRY,0.00,METER VIOLATION,EAST PARK-8,43 78,NO TIME ON METER,,,
6/13/08,VOLV,GRY,0.00,METER VIOLATION,WILLAMETTE 7TH AVE 8TH A,33 51,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/13/08,VOLV,RED,0.00,METER VIOLATION,5TH AVE PEARL ST OAK ST,16 4,NO TIME ON METER,5TH PEARL,44.0540221,-123.0885444
6/13/08,VOLK,BLU,0.00,METER VIOLATION,HIGH ST 6TH AVE 5TH AVE,17 15,NO TIME ON METER,HIGH 6TH,44.0530736,-123.096141
6/13/08,SUBA,MAR,0.00,METER VIOLATION,HIGH ST 6TH AVE 5TH AVE,17 18,NO TIME ON METER,HIGH 6TH,44.0530736,-123.096141
6/13/08,SUZU,BLK,0.00,TIME LIMIT ZONE,3RD AVE HIGH ST PEARL ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/13/08,SUBA,GLD,24.00,METER VIOLATION,8TH AVE OAK ST PEARL ST,34 35,NO TIME ON METER,8TH OAK,44.0516002,-123.0906409
6/13/08,TOYT,BLU,0.00,METER VIOLATION,WEST PARK-8,42 89,NO TIME ON METER,,,
6/13/08,SUBA,GRY,0.00,METER VIOLATION,WEST PARK-8,42 88,NO TIME ON METER,,,
6/13/08,HOND,GRY,0.00,METER VIOLATION,14TH AVE KINCAID ST ALDE,239-7,NO TIME ON METER,14TH KINCAID,44.04411040000001,-123.0789666
6/13/08,OLDS,WHT,0.00,METER VIOLATION,KINCAID ST 15TH AVE 14TH,239-25,NO TIME ON METER,KINCAID 15TH,44.04411040000001,-123.0789666
6/13/08,MAZD,WHT,0.00,RESTRICTED BY SIGN,ALLEY LOT 01,NA,COMMERCIAL MARKED VEHICLE ONLYHC NOT,ALLEY 01,44.039064,-123.0704815
6/13/08,FORD,RED,0.00,METER VIOLATION,BROADWAY ST WILLAMETTE O,42-37,NO TIME ON METER,BROADWAY WILLAMETTE,44.050598,-123.09287
6/13/08,FORD,WHT,0.00,YELLOW ZONE,FERRY ST 13TH AVE 14TH A,NA,APPROX. 8FT IN YEL,FERRY 13TH,44.0452933,-123.084937
6/13/08,FORD,WHT,0.00,RESTRICTED BY SIGN,5,NA,NO PERMIT VISIBLE,,,
6/13/08,FORD,RED,0.00,TIME LIMIT ZONE,14TH AVE FERRY ST MILL S,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/13/08,BUIC,BUR,0.00,TIME LIMIT ZONE,14TH AVE MILL ST FERRY S,NA,CHALK MARK STILL VISIBLENO PERMIT VI,14TH MILL,44.0452933,-123.084937
6/13/08,HOND,WHT,0.00,TIME LIMIT ZONE,HIGH ST 17TH AVE 18TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/13/08,VOLK,BLK,0.00,TIME LIMIT ZONE,MILL ST 12TH AVE 13TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/13/08,HOND,WHT,0.00,TIME LIMIT ZONE,HIGH ST 17TH AVE 18TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/13/08,BUIC,GRY,0.00,METER VIOLATION,WILLAMETTE 11TH AVE 13TH,70 47,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/13/08,LEXS,WHT,0.00,METER VIOLATION,SOUTH PARK-1E,43 94,NO TIME ON METER,,,
6/13/08,FORD,GRY,0.00,METER VIOLATION,OLIVE ST 8TH AVE 7TH AVE,31 15,NO TIME ON METER,,,
6/13/08,JEEP,BLU,0.00,RESTRICTED BY SIGN,LOT 36,NA,CARPOOL/RIDESHARE ONLYNO PERMIT VISI,,,
6/13/08,BMW,BLK,0.00,METER VIOLATION,SOUTH PARK-1E,43 65,NO TIME ON METER,,,
6/13/08,TOYT,BLU,0.00,"SPACE MARKINGS,DIRECTI",OAK ST 7TH AVE 8TH AVE,33 24,APPROX. 7FT IN YELLOWMANEUVERING SPA,OAK 7TH,43.7517656,-122.4553777
6/13/08,TOYT,BLU,0.00,METER VIOLATION,PEARL ST BROADWAY ST 8TH,43 24,NO TIME ON METER,PEARL BROADWAY,44.0500531,-123.0898399
6/13/08,FORD,GRN,0.00,METER VIOLATION,8TH AVE PEARL ST HIGH ST,35 40,NO TIME ON METER,8TH PEARL,44.0516002,-123.0906409
6/13/08,MAZD,RED,0.00,TIME LIMIT ZONE,PEARL ST 2ND AVE 3RD AVE,NA,CHALK MARK STILL VISIBLENO PERMIT VI,PEARL 2ND,44.054605,-123.089331
6/13/08,CHEV,GRY,0.00,METER VIOLATION,OAK ST 5TH AVE 6TH AVE,16 46,NO TIME ON METER,OAK 5TH,44.043993,-123.091648
6/13/08,CHRY,BLK,0.00,METER VIOLATION,EAST PARK-8,43 88,NO TIME ON METER,,,
6/13/08,HOND,GRY,0.00,PARKING RESERVED SPACE,LOT 34,NA,SIGN(s)POSTEDBUSINESS COMPLAINT,,,
6/13/08,LEXS,WHT,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 5,NO TIME ON METER,5TH HIGH,44.0535416,-123.0878574
6/13/08,DODG,RED,0.00,ON BRIDGE,3500 BLKKINSROW,NA,SIGN(s)POSTEDNO PARKING,,,
6/13/08,PLYM,GRY,24.00,ON BRIDGE,3500 BLKKINSROW,NA,SIGN(s)POSTEDNO PARKING,,,
6/13/08,STRN,BLK,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 3,NO TIME ON METER,5TH HIGH,44.0535416,-123.0878574
6/13/08,TOYT,GLD,24.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 1,NO TIME ON METER,5TH HIGH,44.0535416,-123.0878574
6/13/08,GMC,WHT,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 12,NO TIME ON METER,5TH HIGH,44.0535416,-123.0878574
6/13/08,FORD,GRN,12.00,METER VIOLATION,HIGH ST 6TH AVE 5TH AVE,17 27,NO TIME ON METER,HIGH 6TH,44.0530736,-123.096141
6/13/08,DODG,BLK,0.00,METER VIOLATION,PEARL ST 5TH AVE 6TH AVE,17 53,NO TIME ON METER,PEARL 5TH,44.054605,-123.089331
6/13/08,VOLK,BEI,0.00,METER VIOLATION,SOUTH PARK-0E,42 71,NO TIME ON METER,,,
6/13/08,FORD,GRN,0.00,STORAGE ON STREET 2ND/,5304WALES,NA,CITIZEN COMPLAINTCHALK MARK STILL VI,,,
6/13/08,HOND,GRN,30.00,RESTRICTED BY SIGN,HILYARD ST BROADWAY ST 1,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM,,,
6/13/08,HOND,BEI,0.00,WITHIN 10FT FIRE HYDRA,14TH AVE PATTERSON ST HI,NA,VEH APPROX 4FT FROM HYDRANTNOT A PAR,14TH PATTERSON,44.04473,-123.081623
6/13/08,DODG,WHT,0.00,METER VIOLATION,HILYARD ST 13TH AVE 14TH,224-21,NO TIME ON METER,HILYARD 13TH,44.04473,-123.081623
6/13/08,SUBA,WHT,12.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-37,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/13/08,TOYT,GRN,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214-20,NO TIME ON METER,KINCAID 12TH,44.04411040000001,-123.0789666
6/13/08,MAZD,WHT,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214-16,NO TIME ON METER,KINCAID 12TH,44.04411040000001,-123.0789666
6/13/08,SUBA,GRN,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-36,NO TIME ON METER,12TH ALDER,44.04646169999999,-123.0798634
6/13/08,FORD,BLU,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-37,NO TIME ON METER,12TH ALDER,44.04646169999999,-123.0798634
6/13/08,BMW,RED,0.00,TIME LIMIT ZONE,WALNUT ST 17TH AVE 15TH,NA,NO PERMIT VISIBLECHALK MARK STILL VI,,,
6/13/08,TOYT,BLU,24.00,TIME LIMIT ZONE,GARDEN AVE MILL ST VILLA,NA,2HRCHALK MARK STILL VISIBLE,,,
6/13/08,ACUR,GRN,0.00,FRONT OF DRIVEWAY,KINCAID ST END 15TH AVE,NA,BLOCKINGNOT A PARKING SPACE,KINCAID END,44.028754,-123.079741
6/13/08,FORD,GRY,0.00,METER VIOLATION,KINCAID ST 15TH AVE 14TH,239-36,NO TIME ON METER,KINCAID 15TH,44.04411040000001,-123.0789666
6/13/08,TOYT,BLU,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-35,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/13/08,VOLV,GRY,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214-25,NO TIME ON METER,KINCAID 12TH,44.04411040000001,-123.0789666
6/13/08,HYUN,GRY,0.00,METER VIOLATION,12TH AVE KINCAID ST ALDE,214-4,NO TIME ON METER,12TH KINCAID,44.04411040000001,-123.0789666
6/13/08,VOLV,BLU,24.00,METER VIOLATION,AGATE ST 18TH AVE 15TH A,255 47,NO TIME ON METER,,,
6/13/08,VOLV,BLK,0.00,TIME LIMIT ZONE,KINCAID ST 19TH AVE 20TH,NA,CHALK MARK STILL VISIBLE,KINCAID 19TH,44.0392942,-123.0700585
6/13/08,FORD,BLU,0.00,TIME LIMIT ZONE,HARRIS ST 20TH AVE 21ST,NA,CHALK MARK STILL VISIBLE,,,
6/13/08,DODG,MAR,24.00,TIME LIMIT ZONE,19TH AVE UNIVERSITY ST P,NA,CHALK MARK STILL VISIBLE,19TH UNIVERSITY,44.0448302,-123.0726055
6/13/08,TOYT,WHT,0.00,TIME LIMIT ZONE,ONYX ST 18TH AVE 19TH AV,NA,CHALK MARK STILL VISIBLE,ONYX 18TH,44.0396406,-123.0734279
6/13/08,HOND,MAR,0.00,TIME LIMIT ZONE,AGATE ST 21ST AVE 20TH A,NA,CHALK MARK STILL VISIBLE,,,
6/13/08,TOYT,BRO,0.00,ON SIDEWALK,24TH AVE UNIVERSITY ST O,NA,BLOCKING,,,
6/13/08,TOYT,GRY,0.00,METER VIOLATION,AGATE ST 19TH AVE 18TH A,288 19,NO TIME ON METER,,,
6/13/08,VOLV,RED,0.00,METER VIOLATION,18TH AVE UNIVERSITY ST A,276 37,NO TIME ON METER,,,
6/13/08,TOYT,BLK,0.00,METER VIOLATION,HILYARD ST 13TH AVE 14TH,224 24,NO TIME ON METER,HILYARD 13TH,44.04473,-123.081623
6/13/08,HOND,BLK,0.00,METER VIOLATION,LOT 21,SP.103,NO TIME ON METER,,,
6/13/08,SUBA,BLU,0.00,METER VIOLATION,LOT 31,SP.55,NO TIME ON METER,,,
6/13/08,SUBA,GRN,0.00,METER VIOLATION,BROADWAY ST LAWRENCE ST,38-31,NO TIME ON METER,,,
6/13/08,VOLV,GRY,0.00,METER VIOLATION,5TH AVE LAWRENCE ST LINC,12086,NO TIME ON METER,5TH LAWRENCE,44.0510462,-123.0983383
6/13/08,HOND,GRY,24.00,METER VIOLATION,BROADWAY ST LINCOLN ST L,47-7,NO TIME ON METER,BROADWAY LINCOLN,44.0496592,-123.0960881
